"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"27","3","1","TERMINALBUS","5006","1","","177","1"
"27","3","2","TERMINALBUS","5008","1","","177","1"
"27","3","3","TERMINALBUS","5010","1","","177","1"
"27","3","4","TERMINALBUS","5012","1","","177","1"
"27","3","5","TERMINALBUS","5014","1","","177","1"
"27","3","6","TERMINALBUS","5016","1","","177","1"
"27","3","7","HOTEL AMITERNUM","4983","0","","71","1"
"27","3","8","HOTEL AMITERNUM","4985","0","","71","1"
"2","3","9","11A UNIVERSITA' ROIO","1000","0","","14",""
"2","3","10","11A TERMINAL","2000","1","","59",""
"8","3","11","16 TERMINAL","4714","1","","282",""
"8","3","12","16 TERMINAL","4716","1","","159",""
"25","3","13","HOTEL AMITERNUM","5017","0","","70","1"
"25","3","14","HOTEL AMITERNUM","5019","0","","70","1"
"29","3","15","","4910","0","","223",""
"29","3","16","","4909","0","","222",""
"24","3","17","3A CANSATESSA","4363","0","","221",""
"8","3","18","16 TERMINAL","4709","1","","159",""
"8","3","19","16 TERMINAL","4711","1","","159",""
"8","3","20","16 TERMINAL","4710","1","","159",""
"18","3","21","2 L'AQUILONE","4478","0","","75",""
"10","3","22","1 L'AQUILONE","3973","0","","68",""
"19","3","23","15 ARISCHIA","5087","0","","62","1"
"19","3","24","15 ARISCHIA","4958","0","","232",""
"25","3","25","TERMINALBUS","5033","1","","33","1"
"23","3","26","6S PAGANICA","4315","0","","248",""
"10","3","27","1 TERMINAL","4042","1","","58",""
"13","3","28","","4032","0","","90",""
"10","3","29","1 TERMINAL","4050","1","","58",""
"13","3","30","","4034","1","","83",""
"22","3","31","6DI ASSERGI","4296","0","","243",""
"22","3","32","6D PAGANICA","4297","0","","242",""
"10","3","33","1T/ STAZIONE","4676","0","","9",""
"24","3","34","3 TERMINAL","4522","1","","24",""
"1","3","35","12 TERMINAL","4800","1","","220",""
"23","3","36","6SO FUNIVIA","4606","0","","270",""
"3","3","37","16A TERMINAL","4734","1","","39",""
"3","3","38","16A TERMINAL","4737","1","","144",""
"17","3","39","","4263","0","","152",""
"10","3","40","1 L'AQUILONE","5091","0","","201",""
"10","3","41","1T TERMINAL","4682","1","","30",""
"10","3","42","1T/ STAZIONE","4675","0","","9",""
"17","3","43","5 GIGNANO","5090","0","","194",""
"29","3","44","","4927","1","","193",""
"29","3","45","","4928","1","","195",""
"6","3","46","","4636","0","","98",""
